episode,reward,latency_ms,energy_j,loss,agent,seed,w_latency,w_energy,iot_nodes,arrival_rate
0,-1.9544551981865523,58.32265328169096,1.9922945803213241,,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,-2.1823621411347163,71.1567537758901,3.7664646110893756,16.445221440545446,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,-1.8638375870389607,79.03440850332355,1.618537127563442,8.197683016459147,Proposed-HierDDQN,0,0.5,0.5,10,5.0
3,-2.1808817120377806,73.728988032485,1.9878234422910128,5.68169546922048,Proposed-HierDDQN,0,0.5,0.5,10,5.0
4,-2.1098890926301133,78.97469301147609,1.98346585313957,5.8512738386789955,Proposed-HierDDQN,0,0.5,0.5,10,5.0
5,-1.788163814333794,61.418937014675265,1.502090505205168,4.044897683461508,Proposed-HierDDQN,0,0.5,0.5,10,5.0
6,-1.7234878427770124,69.35368751700985,1.9544557240822236,3.3818637053171794,Proposed-HierDDQN,0,0.5,0.5,10,5.0
7,-1.464917309339241,51.693799333180365,2.6187328705934094,3.2982083598772687,Proposed-HierDDQN,0,0.5,0.5,10,5.0
8,-1.8484266507086708,77.2131167719735,1.5718645841752343,3.1941145857175193,Proposed-HierDDQN,0,0.5,0.5,10,5.0
9,-1.9935100910091421,81.52512617072306,2.179396320767736,2.643746097882589,Proposed-HierDDQN,0,0.5,0.5,10,5.0
10,-1.7995265389917656,66.31875193499114,2.550837619607016,2.938501063982646,Proposed-HierDDQN,0,0.5,0.5,10,5.0
11,-1.8697398493940425,65.67289951899282,2.0565500432713972,4.3027664502461755,Proposed-HierDDQN,0,0.5,0.5,10,5.0
12,-1.9319464964038149,89.10593730862692,1.535385709430571,3.7813841938972472,Proposed-HierDDQN,0,0.5,0.5,10,5.0
13,-1.1742263172200451,49.562572089469114,1.4655259612208948,3.7750605821609495,Proposed-HierDDQN,0,0.5,0.5,10,5.0
14,-1.8838630800072067,61.49741077885985,1.644690010500755,4.288915232817332,Proposed-HierDDQN,0,0.5,0.5,10,5.0
0,-2.2574183909816656,70.42292219829665,2.01632381119653,,Proposed-HierDDQN,1,0.5,0.5,10,5.0
1,-1.64012345715468,58.2092289794397,3.0024590713073733,12.324308658468313,Proposed-HierDDQN,1,0.5,0.5,10,5.0
2,-1.8232803597455542,68.72094962360934,2.2791686383387506,7.092878802617391,Proposed-HierDDQN,1,0.5,0.5,10,5.0
3,-1.7072718076659141,71.11231658195938,2.592760092292608,4.2138136227925616,Proposed-HierDDQN,1,0.5,0.5,10,5.0
4,-1.8889532983934807,59.542017447757786,1.5742100328619086,5.0276815374692285,Proposed-HierDDQN,1,0.5,0.5,10,5.0
5,-2.886588205162943,132.32792402161226,0.9678769150681553,4.204469807942709,Proposed-HierDDQN,1,0.5,0.5,10,5.0
6,-2.1504587228997134,77.24467226073048,1.9140133550503533,3.4699184695879617,Proposed-HierDDQN,1,0.5,0.5,10,5.0
7,-1.6898385626111712,62.150943446344286,3.184537940849241,3.350943660736084,Proposed-HierDDQN,1,0.5,0.5,10,5.0
8,-1.4611399018759803,59.5813367420802,1.3855262812049938,3.1364447156588238,Proposed-HierDDQN,1,0.5,0.5,10,5.0
9,-1.5630972808408101,55.07055044116185,1.4640839205758664,2.693774708112081,Proposed-HierDDQN,1,0.5,0.5,10,5.0
10,-1.9202593538824642,65.57746622585115,2.5193090487118925,2.7876394828160604,Proposed-HierDDQN,1,0.5,0.5,10,5.0
11,-1.8046728341494844,74.19193575384084,1.4306772298763526,5.194774174690247,Proposed-HierDDQN,1,0.5,0.5,10,5.0
12,-2.2579403101671844,99.66635381170732,0.673158674801584,4.429081153869629,Proposed-HierDDQN,1,0.5,0.5,10,5.0
13,-2.3345498280946533,98.65753481758833,1.149709450348168,4.175856510798137,Proposed-HierDDQN,1,0.5,0.5,10,5.0
14,-2.342981353757032,78.31134216387358,1.8046241179247855,5.600112080574036,Proposed-HierDDQN,1,0.5,0.5,10,5.0
0,-2.5601051498345138,54.136409614762684,7.408176142274728,,Cloud-Only,0,0.5,0.5,10,5.0
1,-2.0827584028695125,47.31279135870953,9.384059416728986,,Cloud-Only,0,0.5,0.5,10,5.0
2,-1.8835662203189492,44.062019166454284,6.998684942733374,,Cloud-Only,0,0.5,0.5,10,5.0
3,-2.0388224751610666,48.00890032316299,7.849201562482941,,Cloud-Only,0,0.5,0.5,10,5.0
4,-2.167309723804173,47.996419120289126,8.229380760019744,,Cloud-Only,0,0.5,0.5,10,5.0
5,-1.8823396615086483,45.389342461398776,7.409546615024625,,Cloud-Only,0,0.5,0.5,10,5.0
6,-1.854098799722762,44.830898486797665,8.157007477696444,,Cloud-Only,0,0.5,0.5,10,5.0
7,-2.066611695338225,48.284013932266795,6.631837567434137,,Cloud-Only,0,0.5,0.5,10,5.0
8,-1.8024650635884927,42.51101272702958,5.588753728789499,,Cloud-Only,0,0.5,0.5,10,5.0
9,-1.7488560818366532,41.81889876297685,8.755375321366378,,Cloud-Only,0,0.5,0.5,10,5.0
10,-1.5648427761410306,39.63190143634684,6.790596426474002,,Cloud-Only,0,0.5,0.5,10,5.0
11,-1.8519440575826787,41.96649165661814,7.445763322801364,,Cloud-Only,0,0.5,0.5,10,5.0
12,-1.8169298521010417,44.384406039593244,6.54964197373211,,Cloud-Only,0,0.5,0.5,10,5.0
13,-1.931552938466307,44.20280181838141,6.044216278089755,,Cloud-Only,0,0.5,0.5,10,5.0
14,-2.185970273326252,48.481569465422474,7.064236340912864,,Cloud-Only,0,0.5,0.5,10,5.0
0,-2.446229450154983,50.86736265558496,7.811491432130011,,Cloud-Only,1,0.5,0.5,10,5.0
1,-2.103881386370597,48.97885869884623,8.868817706854808,,Cloud-Only,1,0.5,0.5,10,5.0
2,-1.919215737880161,46.09238473028528,6.949001601704068,,Cloud-Only,1,0.5,0.5,10,5.0
3,-2.242446112721827,49.452523794350746,6.253742588279597,,Cloud-Only,1,0.5,0.5,10,5.0
4,-2.1152078926440634,47.99458381727228,7.523068938230324,,Cloud-Only,1,0.5,0.5,10,5.0
5,-2.5856098811529313,55.74240881102241,6.263146892323532,,Cloud-Only,1,0.5,0.5,10,5.0
6,-1.863420720710199,44.73976319100007,7.256860755931986,,Cloud-Only,1,0.5,0.5,10,5.0
7,-2.111992678343824,48.45689452009424,8.794394272237893,,Cloud-Only,1,0.5,0.5,10,5.0
8,-1.913913229947889,44.449319765037025,6.495443260515336,,Cloud-Only,1,0.5,0.5,10,5.0
9,-1.6563007521285642,39.97274801567679,6.105947042244152,,Cloud-Only,1,0.5,0.5,10,5.0
10,-1.780034969480505,43.49910408018474,6.908654470747788,,Cloud-Only,1,0.5,0.5,10,5.0
11,-2.0242689484857355,46.73481227232006,7.016142704232678,,Cloud-Only,1,0.5,0.5,10,5.0
12,-1.387235553185143,36.23238639256953,4.88694219612997,,Cloud-Only,1,0.5,0.5,10,5.0
13,-1.7971775132135837,44.00490668682418,5.892056429113564,,Cloud-Only,1,0.5,0.5,10,5.0
14,-2.3519232460254265,52.17355059971242,6.7327398780262415,,Cloud-Only,1,0.5,0.5,10,5.0
0,-3.6750577841179917,215.45643514767727,0.9639370563909044,,Rule-Based,0,0.5,0.5,10,5.0
1,-3.35329867561029,185.6576295357094,0.7853856875020839,,Rule-Based,0,0.5,0.5,10,5.0
2,-3.444816354227357,192.81242163288792,0.5442762460514471,,Rule-Based,0,0.5,0.5,10,5.0
3,-2.165617103320121,80.79346865785793,1.0082387430943323,,Rule-Based,0,0.5,0.5,10,5.0
4,-3.014427928109464,170.9610456102409,1.249648128897939,,Rule-Based,0,0.5,0.5,10,5.0
5,-3.5690884118191906,224.0354473970369,0.7081974861947758,,Rule-Based,0,0.5,0.5,10,5.0
6,-3.9544679666228104,274.5192700908821,0.7650788206464285,,Rule-Based,0,0.5,0.5,10,5.0
7,-3.6485067911654405,212.89872146923778,0.8739550872703103,,Rule-Based,0,0.5,0.5,10,5.0
8,-3.7644533080260625,223.98305765044628,0.6691001284972985,,Rule-Based,0,0.5,0.5,10,5.0
9,-2.485223958469243,96.85686377263626,0.6713776387606256,,Rule-Based,0,0.5,0.5,10,5.0
10,-3.709851298547945,213.70060169435607,0.6325293166924836,,Rule-Based,0,0.5,0.5,10,5.0
11,-3.93022029917629,255.9966465728027,0.7194079378972713,,Rule-Based,0,0.5,0.5,10,5.0
12,-3.479111642683098,177.3910842937266,0.7991827496068413,,Rule-Based,0,0.5,0.5,10,5.0
13,-4.475867148471246,329.1627144320441,0.6226195179211476,,Rule-Based,0,0.5,0.5,10,5.0
14,-2.625910367376069,99.41557114149971,1.0445591234970273,,Rule-Based,0,0.5,0.5,10,5.0
0,-3.425680876369772,137.9787912995077,1.5114022831601228,,Rule-Based,1,0.5,0.5,10,5.0
1,-3.744881503020059,210.14634192060757,0.8700125949154651,,Rule-Based,1,0.5,0.5,10,5.0
2,-2.940802276198268,128.43816278392174,0.9079576406952419,,Rule-Based,1,0.5,0.5,10,5.0
3,-3.4804832362487463,195.53669023395346,0.7184771968911154,,Rule-Based,1,0.5,0.5,10,5.0
4,-3.4879647006746937,203.09973555383138,0.7642366975164683,,Rule-Based,1,0.5,0.5,10,5.0
5,-3.1209012181552884,171.86621574191096,1.4096781474561517,,Rule-Based,1,0.5,0.5,10,5.0
6,-3.456927294241773,195.12967106253004,1.0976137016600114,,Rule-Based,1,0.5,0.5,10,5.0
7,-3.245249019747043,129.66912517224802,0.8616598844897059,,Rule-Based,1,0.5,0.5,10,5.0
8,-3.281329679682615,166.43110205536644,0.872720800744425,,Rule-Based,1,0.5,0.5,10,5.0
9,-4.330500405632071,287.47841561147897,0.49816008514917687,,Rule-Based,1,0.5,0.5,10,5.0
10,-2.9402496708402337,138.56641519815813,1.1281702039783694,,Rule-Based,1,0.5,0.5,10,5.0
11,-4.735595504395653,331.7574806968387,0.5792974818351598,,Rule-Based,1,0.5,0.5,10,5.0
12,-3.186285503911664,181.630913270999,0.6773640715404862,,Rule-Based,1,0.5,0.5,10,5.0
13,-4.500830542948462,306.2056904328646,0.7554298273613271,,Rule-Based,1,0.5,0.5,10,5.0
14,-2.799912415190363,126.15750425841489,0.8096720934833238,,Rule-Based,1,0.5,0.5,10,5.0
0,-2.199503841961858,54.60217317799945,3.1611067770744117,,Tabular-Q,0,0.5,0.5,10,5.0
1,-2.192539196733351,62.72020125713822,5.141750312851231,,Tabular-Q,0,0.5,0.5,10,5.0
2,-2.1550266653387316,71.92485597714695,3.100674418883787,,Tabular-Q,0,0.5,0.5,10,5.0
3,-1.7065451833208867,56.96820307327443,4.377541088138216,,Tabular-Q,0,0.5,0.5,10,5.0
4,-1.8537532317853542,60.223976972610366,4.182698011513538,,Tabular-Q,0,0.5,0.5,10,5.0
5,-1.6860857670181828,52.105359919218124,2.9525492845705656,,Tabular-Q,0,0.5,0.5,10,5.0
6,-1.6500910643058087,53.030709521365935,3.737799451032877,,Tabular-Q,0,0.5,0.5,10,5.0
7,-1.7560200648415274,56.287838409486646,2.650453342698578,,Tabular-Q,0,0.5,0.5,10,5.0
8,-1.6651150251498545,55.38432069349139,1.726806773796372,,Tabular-Q,0,0.5,0.5,10,5.0
9,-1.687569468440721,56.83139922057619,3.6983502048887336,,Tabular-Q,0,0.5,0.5,10,5.0
10,-1.4384811114909613,43.55636535552562,2.8152996412261473,,Tabular-Q,0,0.5,0.5,10,5.0
11,-1.6721889147165323,47.956256500199,2.7401246009550735,,Tabular-Q,0,0.5,0.5,10,5.0
12,-2.0444235932126946,74.08199863671244,2.507918595316767,,Tabular-Q,0,0.5,0.5,10,5.0
13,-1.2858918639609673,41.744696012231415,3.2216338719303916,,Tabular-Q,0,0.5,0.5,10,5.0
14,-1.859548091691733,49.04387723448524,3.206526561484517,,Tabular-Q,0,0.5,0.5,10,5.0
0,-2.507907665565254,69.43133699237046,4.0282109463983335,,Tabular-Q,1,0.5,0.5,10,5.0
1,-2.0697421593600964,52.05437291516156,4.686321892208176,,Tabular-Q,1,0.5,0.5,10,5.0
2,-1.8159896942785003,50.7829319982881,2.995838098955928,,Tabular-Q,1,0.5,0.5,10,5.0
3,-1.6859430641990596,54.890182214394564,3.263982904019335,,Tabular-Q,1,0.5,0.5,10,5.0
4,-1.7850810303815396,58.59281695093135,2.636990813051138,,Tabular-Q,1,0.5,0.5,10,5.0
5,-1.9812562277141046,77.85419160742896,3.6957601321936084,,Tabular-Q,1,0.5,0.5,10,5.0
6,-2.0156422704327457,49.615789695461054,4.190525106420916,,Tabular-Q,1,0.5,0.5,10,5.0
7,-2.4254234589626766,78.39810103363857,1.995776679900605,,Tabular-Q,1,0.5,0.5,10,5.0
8,-1.6606202845160527,46.92324923100939,2.340890062189864,,Tabular-Q,1,0.5,0.5,10,5.0
9,-1.254450251848221,46.576472192359994,2.083750709030491,,Tabular-Q,1,0.5,0.5,10,5.0
10,-2.0687937352229473,52.95464495076107,3.18086581796528,,Tabular-Q,1,0.5,0.5,10,5.0
11,-1.5879709696134616,49.991182320056986,4.2182447737569815,,Tabular-Q,1,0.5,0.5,10,5.0
12,-1.3577394574574895,45.2625922342474,2.1877329736628948,,Tabular-Q,1,0.5,0.5,10,5.0
13,-1.791523406066072,60.333481328490755,2.790509324527962,,Tabular-Q,1,0.5,0.5,10,5.0
14,-2.3306348744061847,72.03669427840835,3.498150380296653,,Tabular-Q,1,0.5,0.5,10,5.0
0,-2.199503841961858,54.60217317799945,3.1611067770744117,,Flat-DQN,0,0.5,0.5,10,5.0
1,-2.1907664071044226,59.87202101361084,2.4035623508538078,7.139393880449492,Flat-DQN,0,0.5,0.5,10,5.0
2,-2.056817080275292,64.49789157932067,2.247671011616682,4.190834617614746,Flat-DQN,0,0.5,0.5,10,5.0
3,-1.883671050859183,54.805250750040635,3.1762263204629035,2.9091193437576295,Flat-DQN,0,0.5,0.5,10,5.0
4,-2.003831220483444,51.11963426270318,3.465573787605594,3.4843067626158395,Flat-DQN,0,0.5,0.5,10,5.0
5,-1.908092783202296,53.55989630129737,2.434296860567931,2.099717976649602,Flat-DQN,0,0.5,0.5,10,5.0
6,-2.1069285532819984,57.03127784764677,2.959960659345109,1.8353407760461171,Flat-DQN,0,0.5,0.5,10,5.0
7,-1.8340851089721135,46.96591931096326,2.921672452784769,2.0093571484088897,Flat-DQN,0,0.5,0.5,10,5.0
8,-1.5563846062008855,54.04453543751226,1.6996870589780606,2.067928006251653,Flat-DQN,0,0.5,0.5,10,5.0
9,-1.8877215169542558,60.045478501175936,3.09345072390662,1.5304005086421966,Flat-DQN,0,0.5,0.5,10,5.0
10,-1.5316470672947882,50.5760651971859,3.642581944081232,1.5284863928953807,Flat-DQN,0,0.5,0.5,10,5.0
11,-1.4743741080800308,42.36296429662358,2.820423639570301,2.3834380984306334,Flat-DQN,0,0.5,0.5,10,5.0
12,-1.8133301396783326,51.19507966075867,2.8781248220891555,2.3556721687316893,Flat-DQN,0,0.5,0.5,10,5.0
13,-1.7491341725907936,51.47300377402193,2.637954056253016,2.4308996558189393,Flat-DQN,0,0.5,0.5,10,5.0
14,-1.9172732795055452,51.18027169383025,4.6796832887952355,2.711361348628998,Flat-DQN,0,0.5,0.5,10,5.0
0,-2.507907665565254,69.43133699237046,4.0282109463983335,,Flat-DQN,1,0.5,0.5,10,5.0
1,-2.003104184018133,55.200011827348526,4.200820037090963,6.8161842247535445,Flat-DQN,1,0.5,0.5,10,5.0
2,-2.11791464225096,53.70801135539643,3.1297145741417625,3.5191574176152547,Flat-DQN,1,0.5,0.5,10,5.0
3,-1.5494315372400649,44.52043619903647,2.187102956886768,2.074533259868622,Flat-DQN,1,0.5,0.5,10,5.0
4,-1.7682055361045146,51.66732626952366,3.1533372894960254,2.6492782990137735,Flat-DQN,1,0.5,0.5,10,5.0
5,-2.0384654459016165,61.11039861678787,3.224291216929522,2.117959386110306,Flat-DQN,1,0.5,0.5,10,5.0
6,-1.872464033702781,60.32544570940968,4.613158718487949,1.5201008339722952,Flat-DQN,1,0.5,0.5,10,5.0
7,-2.057839195037003,62.566843209340576,3.007142490795936,1.715294780333837,Flat-DQN,1,0.5,0.5,10,5.0
8,-1.4680814712712433,45.36597843730543,2.610579985398646,1.9182173291842142,Flat-DQN,1,0.5,0.5,10,5.0
9,-1.2131170211527798,44.53426769725081,2.5181192282386036,1.537523086865743,Flat-DQN,1,0.5,0.5,10,5.0
10,-1.9366305497706062,50.55175632758655,3.915997476948425,1.3116582910219827,Flat-DQN,1,0.5,0.5,10,5.0
11,-1.515545381718103,59.2257457935251,1.8986733438449201,2.2674406210581464,Flat-DQN,1,0.5,0.5,10,5.0
12,-1.3902560490000058,46.29857731264113,2.7836269810628735,2.048967719078064,Flat-DQN,1,0.5,0.5,10,5.0
13,-1.8329873544117088,46.824695568494235,3.096194475635268,2.083027255535126,Flat-DQN,1,0.5,0.5,10,5.0
14,-2.2526260167101215,59.802583377850695,4.186894163558791,2.5289536317189536,Flat-DQN,1,0.5,0.5,10,5.0
0,-2.199503841961858,54.60217317799945,3.1611067770744117,,Flat-DoubleDQN,0,0.5,0.5,10,5.0
1,-2.1907664071044226,59.87202101361084,2.4035623508538078,7.155858697562382,Flat-DoubleDQN,0,0.5,0.5,10,5.0
2,-2.056817080275292,64.49789157932067,2.247671011616682,4.202195982138316,Flat-DoubleDQN,0,0.5,0.5,10,5.0
3,-1.883671050859183,54.805250750040635,3.1762263204629035,2.9057326396306355,Flat-DoubleDQN,0,0.5,0.5,10,5.0
4,-2.003831220483444,51.11963426270318,3.465573787605594,3.423050361871719,Flat-DoubleDQN,0,0.5,0.5,10,5.0
5,-1.908092783202296,53.55989630129737,2.434296860567931,2.1137518763542174,Flat-DoubleDQN,0,0.5,0.5,10,5.0
6,-2.1069285532819984,57.03127784764677,2.959960659345109,1.8452983399232228,Flat-DoubleDQN,0,0.5,0.5,10,5.0
7,-1.8340851089721135,46.96591931096326,2.921672452784769,2.0123807807763416,Flat-DoubleDQN,0,0.5,0.5,10,5.0
8,-1.5563846062008855,54.04453543751226,1.6996870589780606,2.105133366584778,Flat-DoubleDQN,0,0.5,0.5,10,5.0
9,-1.8877215169542558,60.045478501175936,3.09345072390662,1.5654976546764374,Flat-DoubleDQN,0,0.5,0.5,10,5.0
10,-1.5316470672947882,50.5760651971859,3.642581944081232,1.5644891659418743,Flat-DoubleDQN,0,0.5,0.5,10,5.0
11,-1.4743741080800308,42.36296429662358,2.820423639570301,2.404270052909851,Flat-DoubleDQN,0,0.5,0.5,10,5.0
12,-1.8133301396783326,51.19507966075867,2.8781248220891555,2.3983230074246724,Flat-DoubleDQN,0,0.5,0.5,10,5.0
13,-1.7491341725907936,51.47300377402193,2.637954056253016,2.477863836288452,Flat-DoubleDQN,0,0.5,0.5,10,5.0
14,-1.9172732795055452,51.18027169383025,4.6796832887952355,2.748724164565404,Flat-DoubleDQN,0,0.5,0.5,10,5.0
0,-2.507907665565254,69.43133699237046,4.0282109463983335,,Flat-DoubleDQN,1,0.5,0.5,10,5.0
1,-2.003104184018133,55.200011827348526,4.200820037090963,6.899929408369394,Flat-DoubleDQN,1,0.5,0.5,10,5.0
2,-2.11791464225096,53.70801135539643,3.1297145741417625,3.6588478684425354,Flat-DoubleDQN,1,0.5,0.5,10,5.0
3,-1.5494315372400649,44.52043619903647,2.187102956886768,2.104631479581197,Flat-DoubleDQN,1,0.5,0.5,10,5.0
4,-1.7682055361045146,51.66732626952366,3.1533372894960254,2.655169101556142,Flat-DoubleDQN,1,0.5,0.5,10,5.0
5,-2.0384654459016165,61.11039861678787,3.224291216929522,2.1364216844240826,Flat-DoubleDQN,1,0.5,0.5,10,5.0
6,-1.872464033702781,60.32544570940968,4.613158718487949,1.5361286520957946,Flat-DoubleDQN,1,0.5,0.5,10,5.0
7,-2.057839195037003,62.566843209340576,3.007142490795936,1.7286133249600728,Flat-DoubleDQN,1,0.5,0.5,10,5.0
8,-1.4888794132199068,49.27004618130903,2.581689351018437,1.894616957505544,Flat-DoubleDQN,1,0.5,0.5,10,5.0
9,-1.2131170211527798,44.53426769725081,2.5181192282386036,1.5235239307085673,Flat-DoubleDQN,1,0.5,0.5,10,5.0
10,-1.9366305497706062,50.55175632758655,3.915997476948425,1.3219663123289744,Flat-DoubleDQN,1,0.5,0.5,10,5.0
11,-1.515545381718103,59.2257457935251,1.8986733438449201,2.259136613210042,Flat-DoubleDQN,1,0.5,0.5,10,5.0
12,-1.3902560490000058,46.29857731264113,2.7836269810628735,2.0449238240718843,Flat-DoubleDQN,1,0.5,0.5,10,5.0
13,-1.8329873544117088,46.824695568494235,3.096194475635268,2.079867712656657,Flat-DoubleDQN,1,0.5,0.5,10,5.0
14,-2.2526260167101215,59.802583377850695,4.186894163558791,2.5253599087397256,Flat-DoubleDQN,1,0.5,0.5,10,5.0
0,-2.7303074271195347,120.34334030696364,2.294875597553188,,A3C,0,0.5,0.5,10,5.0
1,-1.8097705355730924,60.40373970124304,4.351446051837061,,A3C,0,0.5,0.5,10,5.0
2,-1.8722189774749332,57.19896114968961,3.1930031993802603,,A3C,0,0.5,0.5,10,5.0
3,-2.0958452235150253,60.016859561313474,4.138103395035383,,A3C,0,0.5,0.5,10,5.0
4,-1.7782806325133604,50.66132682048849,3.9205980328703927,,A3C,0,0.5,0.5,10,5.0
5,-1.4062164017892664,41.179883124200344,2.5247114699567828,,A3C,0,0.5,0.5,10,5.0
6,-1.7543913283699675,51.85037313524886,4.091064141201913,,A3C,0,0.5,0.5,10,5.0
7,-1.6701750210405961,57.479750142885266,2.5991727107575957,,A3C,0,0.5,0.5,10,5.0
8,-1.500804813227593,43.91199782773561,2.938496696079872,,A3C,0,0.5,0.5,10,5.0
9,-2.680191646003519,105.06514537334097,1.825765813717724,,A3C,0,0.5,0.5,10,5.0
10,-1.718384675436236,61.49314859697308,2.947236728632163,,A3C,0,0.5,0.5,10,5.0
11,-1.391592156828703,43.571181122489534,2.997819959595098,,A3C,0,0.5,0.5,10,5.0
12,-2.08271412538497,65.62189793726658,3.6658722376493875,,A3C,0,0.5,0.5,10,5.0
13,-1.692668354624249,46.565707093126896,3.316408858304436,,A3C,0,0.5,0.5,10,5.0
14,-1.8808107481567025,49.81588670052638,3.7897523476425814,,A3C,0,0.5,0.5,10,5.0
0,-2.4650183569503477,72.13336376665605,3.943852906718091,,A3C,1,0.5,0.5,10,5.0
1,-1.8661187588260957,54.915151065554745,3.708072888422519,,A3C,1,0.5,0.5,10,5.0
2,-1.7659053276916767,52.00942174194142,3.3009801424718077,,A3C,1,0.5,0.5,10,5.0
3,-1.816014194200561,60.22941041088164,2.4812878434904975,,A3C,1,0.5,0.5,10,5.0
4,-1.669143991477168,48.74044505363959,4.0185619758508135,,A3C,1,0.5,0.5,10,5.0
5,-2.4945539585519017,67.3097650358724,3.8352754064455095,,A3C,1,0.5,0.5,10,5.0
6,-2.8573447455721483,121.39575267560578,1.6949922733690916,,A3C,1,0.5,0.5,10,5.0
7,-1.7856755040285954,43.14710740935836,3.6446362077878884,,A3C,1,0.5,0.5,10,5.0
8,-1.931204869490754,82.92108377072951,1.791425443294083,,A3C,1,0.5,0.5,10,5.0
9,-1.6745393894731997,58.72796933085384,2.010666501950434,,A3C,1,0.5,0.5,10,5.0
10,-1.715855741252947,55.034947765538476,2.9928051086872514,,A3C,1,0.5,0.5,10,5.0
11,-1.692655820850202,60.60163282402627,2.735422775925248,,A3C,1,0.5,0.5,10,5.0
12,-1.6657211108042171,58.004647098912066,1.2851597776201873,,A3C,1,0.5,0.5,10,5.0
13,-1.8792340236143021,58.35494140066818,4.138029767504834,,A3C,1,0.5,0.5,10,5.0
14,-1.9499925204039765,54.24436567695872,2.411339559686604,,A3C,1,0.5,0.5,10,5.0
0,-2.7303074271195347,120.34334030696364,2.294875597553188,,PPO,0,0.5,0.5,10,5.0
1,-1.8097705355730924,60.40373970124304,4.351446051837061,,PPO,0,0.5,0.5,10,5.0
2,-1.73305812419342,45.5427228519011,4.534804666878156,,PPO,0,0.5,0.5,10,5.0
3,-1.9543307838388884,69.11950215854813,3.816930960197719,,PPO,0,0.5,0.5,10,5.0
4,-1.9025751073910304,52.27682603507433,4.841298127795172,,PPO,0,0.5,0.5,10,5.0
5,-1.4062164017892664,41.179883124200344,2.5247114699567828,,PPO,0,0.5,0.5,10,5.0
6,-1.9179829950488574,53.46686887150929,3.3902196984997555,,PPO,0,0.5,0.5,10,5.0
7,-1.6701750210405961,57.479750142885266,2.5991727107575957,,PPO,0,0.5,0.5,10,5.0
8,-1.500804813227593,43.91199782773561,2.938496696079872,,PPO,0,0.5,0.5,10,5.0
9,-2.0036887551892586,59.14183214964403,2.3547377755606402,,PPO,0,0.5,0.5,10,5.0
10,-1.7148644152208852,60.61347187684594,2.956017962485013,,PPO,0,0.5,0.5,10,5.0
11,-1.5099105309452765,37.67971535651483,2.1276306165786605,,PPO,0,0.5,0.5,10,5.0
12,-2.1754749578680674,72.14715971673192,3.1515308276510217,,PPO,0,0.5,0.5,10,5.0
13,-1.5557317970894782,46.86518543487991,2.641995761387065,,PPO,0,0.5,0.5,10,5.0
14,-1.7260350705624548,59.136773409522434,3.587736412297059,,PPO,0,0.5,0.5,10,5.0
0,-2.4650183569503477,72.13336376665605,3.943852906718091,,PPO,1,0.5,0.5,10,5.0
1,-1.8661187588260957,54.915151065554745,3.708072888422519,,PPO,1,0.5,0.5,10,5.0
2,-2.317499825700539,86.1098291352983,2.9787414759417663,,PPO,1,0.5,0.5,10,5.0
3,-1.935414705920114,69.96781387186881,2.4175394543033395,,PPO,1,0.5,0.5,10,5.0
4,-1.669143991477168,48.74044505363959,4.0185619758508135,,PPO,1,0.5,0.5,10,5.0
5,-2.3235551767546707,60.9862605753262,4.538197228457545,,PPO,1,0.5,0.5,10,5.0
6,-3.1038395851943625,140.5261122845069,1.5482178893266647,,PPO,1,0.5,0.5,10,5.0
7,-1.7856755040285954,43.14710740935836,3.6446362077878884,,PPO,1,0.5,0.5,10,5.0
8,-1.9413741903311688,75.0682115587928,1.8646545221058948,,PPO,1,0.5,0.5,10,5.0
9,-1.8040305526351197,71.30589853961298,2.2156069035381964,,PPO,1,0.5,0.5,10,5.0
10,-1.6759783923143388,57.621833350949835,3.012897849241385,,PPO,1,0.5,0.5,10,5.0
11,-1.6952761141669377,56.86353255288255,3.5021053643898714,,PPO,1,0.5,0.5,10,5.0
12,-1.685188347639868,54.750381732169224,1.892186273098346,,PPO,1,0.5,0.5,10,5.0
13,-1.7330502585676224,57.467954877984496,2.586685771570387,,PPO,1,0.5,0.5,10,5.0
14,-1.6698928220284326,62.37900906352758,2.0359669504669107,,PPO,1,0.5,0.5,10,5.0
